9 51 1830 1148 18 5100
100000
100000
100000
100000
100000
100000
100000
100000
100000
100000
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
100 100
   0    1  561
   0    2  789
   0    3 1120
   0    4  728
   0    5  395
   0    6  260
   0    7  360
   0    8  286
   0    9   46
   0   10  666
   0   11  281
   0   12  395
   0   13  291
   0   14  326
   0   15  640
   0   16  426
   0   17  600
   0   18  561
   0   19 1040
   0   20  655
   0   21  975
   0   22 1120
   0   23  299
   0   24  260
   0   25  429
   0   26  161
   0   27  305
   0   28  210
   0   29  286
   0   30   46
   0   31  181
   0   32  274
   0   33  410
   0   34  728
   0   35  798
   0   36  707
   0   37  406
   0   38  360
   0   39  146
   0   40   90
   0   41  827
   0   42  135
   0   43  121
   0   44  125
   0   45  207
   0   46  240
   0   47  166
   0   48  208
   0   49  395
   0   50  565
   0   51  463
   0   52  154
   0   53  240
   0   54  279
   0   55  791
   0   56  267
   0   57   64
   0   58  217
   0   59  789
   0   60 1220
   1    2  800
   1    3 1428
   1    4 1049
   1    5  533
   1    6  763
   1    7  912
   1    8  751
   1    9  560
   1   10 1132
   1   11  487
   1   12  533
   1   13  513
   1   14  523
   1   15 1095
   1   16  180
   1   17   83
   1   18    0
   1   19 1082
   1   20  792
   1   21 1236
   1   22 1428
   1   23  490
   1   24  763
   1   25  686
   1   26  547
   1   27  290
   1   28  770
   1   29  751
   1   30  560
   1   31  734
   1   32  537
   1   33  638
   1   34 1049
   1   35 1055
   1   36  944
   1   37  950
   1   38  912
   1   39  619
   1   40  471
   1   41  500
   1   42  552
   1   43  536
   1   44  521
   1   45  533
   1   46  506
   1   47  499
   1   48  492
   1   49  243
   1   50 1031
   1   51  307
   1   52  631
   1   53  329
   1   54  669
   1   55 1185
   1   56  550
   1   57  507
   1   58  771
   1   59  800
   1   60 1404
   2    3  744
   2    4  496
   2    5  397
   2    6  710
   2    7 1044
   2    8 1072
   2    9  831
   2   10 1421
   2   11  995
   2   12  397
   2   13  499
   2   14  464
   2   15 1405
   2   16  860
   2   17  883
   2   18  800
   2   19  285
   2   20  188
   2   21  539
   2   22  744
   2   23  497
   2   24  710
   2   25 1196
   2   26  929
   2   27  843
   2   28  859
   2   29 1072
   2   30  831
   2   31  914
   2   32  514
   2   33  392
   2   34  496
   2   35  410
   2   36  337
   2   37  871
   2   38 1044
   2   39  935
   2   40  767
   2   41  474
   2   42  656
   2   43  667
   2   44  665
   2   45  581
   2   46  550
   2   47  626
   2   48  584
   2   49  896
   2   50 1329
   2   51  504
   2   52  678
   2   53  790
   2   54  563
   2   55  681
   2   56  522
   2   57  741
   2   58  829
   2   59    0
   2   60  624
   3    4  396
   3    5  897
   3    6  883
   3    7 1146
   3    8 1313
   3    9 1164
   3   10 1515
   3   11 1399
   3   12  897
   3   13  944
   3   14  922
   3   15 1521
   3   16 1414
   3   17 1507
   3   18 1428
   3   19  619
   3   20  653
   3   21  205
   3   22    0
   3   23  961
   3   24  883
   3   25 1534
   3   26 1280
   3   27 1340
   3   28 1034
   3   29 1313
   3   30 1164
   3   31 1127
   3   32  931
   3   33  799
   3   34  396
   3   35  374
   3   36  484
   3   37  887
   3   38 1146
   3   39 1238
   3   40 1160
   3   41 1215
   3   42 1009
   3   43 1030
   3   44 1039
   3   45  971
   3   46  974
   3   47 1026
   3   48 1004
   3   49 1423
   3   50 1457
   3   51 1125
   3   52  966
   3   53 1267
   3   54  848
   3   55  364
   3   56  925
   3   57 1113
   3   58 1000
   3   59  744
   3   60  318
   4    5  516
   4    6  505
   4    7  805
   4    8  941
   4    9  773
   4   10 1191
   4   11 1005
   4   12  516
   4   13  552
   4   14  533
   4   15 1190
   4   16 1022
   4   17 1126
   4   18 1049
   4   19  541
   4   20  335
   4   21  254
   4   22  396
   4   23  571
   4   24  505
   4   25 1149
   4   26  890
   4   27  945
   4   28  665
   4   29  941
   4   30  773
   4   31  754
   4   32  537
   4   33  412
   4   34    0
   4   35  126
   4   36  158
   4   37  558
   4   38  805
   4   39  853
   4   40  765
   4   41  917
   4   42  614
   4   43  635
   4   44  643
   4   45  575
   4   46  580
   4   47  630
   4   48  609
   4   49 1028
   4   50 1120
   4   51  755
   4   52  574
   4   53  872
   4   54  453
   4   55  185
   4   56  530
   4   57  718
   4   58  630
   4   59  496
   4   60  525
   5    6  384
   5    7  689
   5    8  681
   5    9  436
   5   10 1047
   5   11  603
   5   12    0
   5   13  104
   5   14   69
   5   15 1026
   5   16  525
   5   17  611
   5   18  533
